from:START_ID,to:END_ID,:TYPE
133549,0,IS
2479,0,IS
133551,0,IS
133552,0,IS
133553,0,IS
133554,0,IS
2485,0,IS
133557,0,IS
133560,0,IS
133562,0,IS
133568,0,IS
133574,0,IS
133575,0,IS
2511,0,IS
133584,0,IS
2517,0,IS
133589,0,IS
133592,0,IS
133598,0,IS
133600,0,IS
2530,0,IS
2534,0,IS
2535,0,IS
133612,0,IS
133613,0,IS
133618,0,IS
133619,0,IS
2549,0,IS
2550,0,IS
133621,0,IS
2559,0,IS
2560,0,IS
133633,0,IS
2562,0,IS
2563,0,IS
133634,0,IS
2565,0,IS
2566,0,IS
2567,0,IS
133635,0,IS
133637,0,IS
133638,0,IS
133639,0,IS
133640,0,IS
133644,0,IS
2574,0,IS
2575,0,IS
133645,0,IS
2577,0,IS
133647,0,IS
2585,0,IS
2588,0,IS
2590,0,IS
2591,0,IS
2594,0,IS
2596,0,IS
2599,0,IS
2600,0,IS
133673,0,IS
133674,0,IS
2607,0,IS
133679,0,IS
2610,0,IS
2613,0,IS
133685,0,IS
2622,0,IS
2623,0,IS
133695,0,IS
2625,0,IS
2626,0,IS
2627,0,IS
133696,0,IS
2631,0,IS
133704,0,IS
133705,0,IS
133706,0,IS
2642,0,IS
133715,0,IS
133716,0,IS
133721,0,IS
133725,0,IS
133727,0,IS
2657,0,IS
133730,0,IS
2660,0,IS
2661,0,IS
133737,0,IS
2669,0,IS
133742,0,IS
133743,0,IS
2673,0,IS
2676,0,IS
133751,0,IS
133752,0,IS
2682,0,IS
2683,0,IS
133757,0,IS
133759,0,IS
2693,0,IS
133765,0,IS
2700,0,IS
2701,0,IS
133772,0,IS
133773,0,IS
133776,0,IS
2705,0,IS
2706,0,IS
133777,0,IS
133781,0,IS
2714,0,IS
2717,0,IS
2718,0,IS
2719,0,IS
133791,0,IS
133793,0,IS
133796,0,IS
133800,0,IS
2729,0,IS
2735,0,IS
2737,0,IS
2738,0,IS
2739,0,IS
2740,0,IS
2741,0,IS
133814,0,IS
2743,0,IS
2745,0,IS
2746,0,IS
133822,0,IS
2753,0,IS
2754,0,IS
133827,0,IS
133831,0,IS
133832,0,IS
133833,0,IS
133834,0,IS
2763,0,IS
133835,0,IS
2765,0,IS
133836,0,IS
2769,0,IS
133841,0,IS
133842,0,IS
2773,0,IS
2775,0,IS
2776,0,IS
2779,0,IS
2783,0,IS
2785,0,IS
2790,0,IS
2792,0,IS
133864,0,IS
133865,0,IS
2795,0,IS
133871,0,IS
133872,0,IS
133874,0,IS
133883,0,IS
2812,0,IS
2813,0,IS
133885,0,IS
133889,0,IS
2818,0,IS
2819,0,IS
2820,0,IS
133892,0,IS
2822,0,IS
133893,0,IS
2825,0,IS
133902,0,IS
2832,0,IS
2833,0,IS
2834,0,IS
133904,0,IS
2836,0,IS
2839,0,IS
133912,0,IS
133914,0,IS
2844,0,IS
2845,0,IS
2846,0,IS
2853,0,IS
2854,0,IS
133928,0,IS
2860,0,IS
2861,0,IS
2865,0,IS
2880,0,IS
2881,0,IS
2882,0,IS
2883,0,IS
2884,0,IS
2885,0,IS
2886,0,IS
133952,0,IS
2888,0,IS
133961,0,IS
2894,0,IS
2896,0,IS
2897,0,IS
2898,0,IS
2899,0,IS
2900,0,IS
2905,0,IS
133978,0,IS
2907,0,IS
133981,0,IS
2912,0,IS
133987,0,IS
2918,0,IS
133999,0,IS
2932,0,IS
2933,0,IS
134006,0,IS
2935,0,IS
2938,0,IS
134011,0,IS
134012,0,IS
134017,0,IS
2946,0,IS
2950,0,IS
2951,0,IS
2953,0,IS
134026,0,IS
2955,0,IS
2957,0,IS
134030,0,IS
134031,0,IS
2964,0,IS
134038,0,IS
2969,0,IS
134041,0,IS
134043,0,IS
134045,0,IS
134050,0,IS
134051,0,IS
2980,0,IS
2982,0,IS
2984,0,IS
134057,0,IS
134059,0,IS
134062,0,IS
